ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country,,,,,,,,,,,,,,,,,,,,,,,,
1266,"Zhao, Ziyi","Ji, Hongxiang; Zhao, Yunsheng; Liu, Zeyu; Sun, Ruitao; Li, Yuquan","Ni, Tongshang","Effectiveness and safety of hydrogen inhalation as an adjunct treatment in Chinese type 2 diabetes patients: A retrospective, observational, double-arm, real-life clinical study ",2023,Frontiers in Endocrinology,10.3389/fendo.2022.1114221 ,"Aim: To analyze the effectiveness and safety of hydrogen inhalation (HI) therapy as an adjunct treatment in Chinese type 2 diabetes mellitus (T2DM) patients in a real-life clinical setting. Methods: This observational, non-interventional, retrospective, double-arm, 6-month clinical study included T2DM patients receiving conventional anti-diabetes medication with or without HI initiation from 2018 to 2021. Patients were assigned to the HI group or non-HI group (control group) after 1:1 propensity score matching (PSM). The mean change in glycated hemoglobin (HbA1c) after 6 months in different groups was evaluated primarily. The secondary outcome was composed of the mean change of fasting plasma glucose (FPG), weight, lipid profile, and homeostasis model assessment. Logistics regression was performed to evaluate the likelihood of reaching different HbA1c levels after 6-month treatment between the groups. Adverse event (AE) was also evaluated in patients of both groups. Results: In total, 1088 patients were selected into the analysis. Compared to the control group, subjects in HI group maintained greater improvement in the level of HbA1c (-0.94% vs -0.46%), FPG (-22.7 mg/dL vs -11.7 mg/dL), total cholesterol (-12.9 mg/dL vs -4.4 mg/dL), HOMA-IR (-0.76 vs -0.17) and HOMA-_ (8.2% vs 1.98%) with all p< 0.001 post the treatment. Logistics regression revealed that the likelihood of reaching HbA1c< 7%, ≥ 7% to< 8% and > 1% reduction at the follow-up period was higher in the HI group, while patients in the control group were more likely to attain HbA1c ≥ 9%. Patients in HI group was observed a lower incidence of several AEs including hypoglycemia (2.0% vs 6.8%), vomiting (2.6% vs 7.4%), constipation (1.7% vs 4.4%) and giddiness (3.3% vs 6.3%) with significance in comparison to the control group. Conclusion: HI as an adjunct therapy ameliorates glycemic control, lipid metabolism, insulin resistance and AE incidence of T2DM patients after 6-month treatment, presenting a noteworthy inspiration to existing clinical diabetic treatment.",Positive,Human,Whole Body,Diabetes (Type II),Oxidative Stress,Gas,N/A,Inhalation,,,China,,,,,,,,,,,,,,,,,,,,,,,,
1294,"Ji, Hongxiang","Zhao, Ziyi; Liu, Zeyu; Sun, Ruitao; Li, Yuquan; Ding, Xiaoheng","Ni, Tongshang","Real-World Effectiveness and Safety of Hydrogen Inhalation in Chinese Patients with Type 2 Diabetes: A Single-Arm, Retrospective Study ",2023,"Diabetes, Metabolic Syndrome, and Obesity: Targets and Therapy",10.2147/DMSO.S412898 ,"Aim: To evaluate the real-life effectiveness and safety of Chinese patients with type 2 diabetes mellitus (T2DM) receiving hydrogen inhalation (HI) treatment as a supplementary treatment. Methods: This retrospective, multicenter, observational 6-months clinical study included T2DM patients maintaining HI, visited at 4 time points. The primary outcome is the mean change in glycated hemoglobin (HbA1c) at the end of the study compared to baseline. The secondary outcome is analyzing the mean change of fasting plasma glucose (FPG), weight, lipid profile, insulin dose and homeostasis model assessment. Linear regression and logistics regression are applied to evaluate the effect of HI after the treatment. Results: Of the 431 patients comprised, it is observed a significant decrease in HbA1c level (9.04±0.82% at baseline to 8.30±0.99% and 8.00±0.80% at the end, p<0.001), FPG (165.6±40.2 mg/dL at baseline to 157.1±36.3mg/dL and 143.6±32.3mg/dL at the end, p<0.001), weight (74.7±7.1kg at baseline to 74.8±10.0kg and 73.6±8.1kg at the end, p<0.001), insulin dose (49.3±10.8U/d at baseline to 46.7±8.0U/d and 45.2±8.7U/d, p<0.001). The individuals in subgroup with higher baseline HbA1c and longer daily HI time duration gain greater HbA1c decrease after 6 months. Linear regression shows that higher baseline HbA1c level and shorter diabetes duration are significantly in relation to greater HbA1c reduction. Logistics regression reveals that lower weight is associated with a higher possibility of reaching HbA1c<7%. The most common adverse event is hypoglycemia. Conclusion: HI therapy significantly improves glycemic control, weight, insulin dose, lipid metabolism, _-cell function and insulin resistance of patients with type 2 diabetes after 6 months. Higher baseline HbA1c level and shorter diabetes duration is related to greater clinical response to HI.",Positive,Human,Whole Body,Diabetes (Type II),Glucose Metabolism,Gas,N/A,Inhalation,,,China,,,,,,,,,,,,,,,,,,,,,,,,
1301,"Liang, Bing","Shi, Le; Du, Dongyue; Li, Hua; Yi, Ning; Xi, Yue; Cui, Jianjiao; Li, Ping; Kang, Hongbin; Noda, Mami; Sun, Xuejun; Liu, Jiankang; Qin, Shucun","Long, Jiangang",Hydrogen-Rich Water Ameliorates Metabolic Disorder via Modifying Gut Microbiota in Impaired Fasting Glucose Patients: A Randomized Controlled Study ,2023,Antioxidants,10.3390/antiox12061245 ,"Objective: Molecular hydrogen (H2) exhibits antioxidant, anti-inflammatory and anti-apoptotic effects, and has shown benefits in glucose and lipid metabolism in certain animal metabolic disorder models. However, the potential benefits of H2 treatment in individuals with impaired fasting glucose (IFG) has seldom been studied. This randomized controlled study (RCT) aims to investigate the effects of hydrogen-rich water (HRW) on IFG subjects and explore the underlying mechanism involved. Methods: Seventy-three patients with IFG were enrolled in a randomized, double-blind, placebo-controlled clinical study. These patients were assigned to receive either 1000 mL per day of HRW or placebo pure water (no H2 infusion) for a duration of eight weeks. Metabolic parameters and fecal gut microbiota were assessed at baseline (week 0) and at week 8. A combined analysis of metabolomics and intestinal microbiota was conducted to investigate the correlation between the effect of H2 on the metabolisms and the diversity of intestinal flora in the IGF patients. Results: Both pure water and HRW demonstrated a significant reduction in fasting blood glucose in IFG patients, with a significant difference between pure water and HRW after eight weeks. Among IFG patients with abnormal pre-experimental fatty liver, 62.5% (10/16) in the HRW group and 31.6% (6/19) in the pure water group achieved remission. Furthermore, 16S RNA analysis revealed HRW-modified gut microbiota dysbiosis in the fecal samples of IGF patients. Through Pearson correlation analysis, the differential gut microbiota obtained by 16S analysis was found to be highly correlated with nine metabolites. Conclusion: H2 slightly improved metabolic abnormalities and gut microbiota dysbiosis, providing a novel target and theoretical basis for the prevention and treatment of blood glucose regulation in patients with IFG.",Positive,Human,Intestine,Metabolic Syndrome,Gut Microbiome,Water (Electrolysis),Neutral,Ingestion,,,China,,,,,,,,,,,,,,,,,,,,,,,,
1310,"Korovljev, Darinka","Ostojic, Jelena; Todorovic, Nikola","Ostojic, Sergej M.",Molecular hydrogen modulates brain glutamate/GABA-glutamine cycle in overweight humans ,2023,Archives of Medical Science,10.5114/aoms/162938 ,"Introduction: We evaluated whether 12-week intake of molecular hydrogen (H2) in 5 overweight adults (3 women; age: 50.2 ±11.9 years, body mass index: 29.4 ±2.1 kg/m2) affects brain levels of the glutamate-glutamine-GABA cycle, critical amino acid neurotransmitters in the mechanism of neuronal activation during appetite regulation. Methods: A 1.5-T single-voxel proton magnetic resonance spectroscopy was used to assess the tissue concentrations of relevant metabolites. Results: The mean glutamate and glutamate-plus-glutamine levels at the posterior cingulate gyrus decreased significantly during the study; this was accompanied by a significant drop in GABA levels at left prefrontal white matter, and glutathione levels at anterior cingulate gyrus. No changes in the brain metabolites were found in the comparable group of overweight individuals (n = 4, 2 women; age: 41.0 ±13.9, BMI 26.8 ±1.3 kg/m2) followed-up in the past without this treatment. Conclusions: We showed a possible hydrogen-driven upregulation of neurotransmitters involved in appetite stimulation leading to hunger suppression and weight loss. Further studies analyzing appetite-controlling metabolic pathways affected by H2 would require monitoring of additional biomarkers of satiation and satiety during different feeding regimens.",Positive,Human,Brain,Obesity,Hunger Suppression,"Water, Commercial (Natural Health Products)",Neutral,Ingestion,,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,
1312,"Sumbalova, Zuzana","Kucharska, Jarmila; Rausova, Zuzana; Gvozdjakova, Anna; Szantova, Maria; Kura, Branislav; Mojto, Viliam","Slezak, Jan",The Effect of Adjuvant Therapy with Molecular Hydrogen on Endogenous Coenzyme Q10 Levels and Platelet Mitochondrial Bioenergetics in Patients with Non-Alcoholic Fatty Liver Disease ,2023,International Journal of Molecular Sciences,10.3390/ijms241512477 ,"Molecular hydrogen (H2) has been recognized as a novel medical gas with antioxidant and anti-inflammatory effects. Non-alcoholic fatty liver disease (NAFLD) is a liver pathology with increased fat accumulation in liver tissue caused by factors other than alcohol consumption. Platelet mitochondrial function is considered to reflect systemic mitochondrial health. We studied the effect of adjuvant therapy with hydrogen-rich water (HRW) on coenzyme Q10 (CoQ10) content and platelet mitochondrial bioenergetics in patients with NAFLD. A total of 30 patients with NAFLD and 15 healthy volunteers were included in this clinical trial. A total of 17 patients (H2 group) drank water three _ 330 mL/day with tablets producing HRW (>4 mg/L H2) for 8 weeks, and 13 patients (P group) drank water with placebo tablets producing CO2. The concentration of CoQ10-TOTAL was determined by the HPLC method, the parameter of oxidative stress, thiobarbituric acid reactive substances (TBARS), by the spectrophotometric method, and mitochondrial bioenergetics in platelets isolated from whole blood by high-resolution respirometry. The patients with NAFLD had lower concentrations of CoQ10-TOTAL in the blood, plasma, and platelets vs. the control group. Mitochondrial CI-linked LEAK respiration was higher, and CI-linked oxidative phosphorylation (OXPHOS) and CII-linked electron transfer (ET) capacities were lower vs. the control group. Plasma TBARS concentrations were higher in the H2 group. After 8 weeks of adjuvant therapy with HRW, the concentration of CoQ10 in platelets increased, plasma TBARS decreased, and the efficiency of OXPHOS improved, while in the P group, the changes were non-significant. Long-term supplementation with HRW could be a promising strategy for the acceleration of health recovery in patients with NAFLD. The application of H2 appears to be a new treatment strategy for targeted therapy of mitochondrial disorders. Additional and longer-term studies are needed to confirm and elucidate the exact mechanisms of the mitochondria-targeted effects of H2 therapy in patients with NAFLD. ",Positive,Human,Liver,Fatty Liver Disease (Nonalcoholic),Mitochondrial Function,Gas (Sustained Release),N/A,Ingestion,,,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,
1314,"Chiu, Szu-Han","Douglas, Frank L.; Chung, Jia-Ru; Wang, Kuang-Yih; Chu, Chao-Fang; Chou, Hsia-Yun; Huang, Wei-Chih; Wang, Tian-Yu; Chen, Wen-Wen; Shen, Min-Chung; Liu, Feng-Cheng","Hsiao, Po-Jen",Evaluation of the safety and potential lipid-lowering effects of oral hydrogen-rich coral calcium (HRCC) capsules in patients with metabolic syndrome: a prospective case series study ,2023,Frontiers in Nutrition,10.3389/fnut.2023.1198524 ,"Background: Metabolic syndrome is characterized by a cluster-like occurrence of conditions such as hypertension, hyperglycaemia, elevated low-density lipoprotein (LDL) cholesterol or triglycerides (TG) and high visceral fat. Metabolic syndrome is linked to the build-up of plaque within the artery, which leads to disorders of the circulatory, nervous and immune systems. A variety of treatments target the regulation of these conditions; nevertheless, they remain dominant risk factors for the development of type 2 diabetes (T2DM) and cardiovascular disease (CVD), which affect 26.9% of the US population. Management and intervention strategies for improving cholesterol and/or TG are worthwhile, and recent studies on hydrogen treatment are promising, particularly as molecular hydrogen is easily ingested. This study aimed to investigate the lipid-lowering effects and quality of life (QOL) improvement of hydrogen-rich coral calcium (HRCC) in patients with metabolic syndrome. Methods: The patients, all Taiwanese, were randomly assigned to 3 different doses (low, medium, and high) of HRCC capsules. The primary outcome was the adverse effects/symptoms during this 4-week use of HRCC capsules. The secondary outcome was lipid profile changes. Complete blood count, inflammatory biomarkers, and QOL were also measured before and after the course of HRCC. Results: Sixteen patients with metabolic syndrome completed this study (7 males, 9 females; mean age: 62 years; range: 32-80). No obvious adverse effects were recorded. Only changes in blood TG reached significance. The baseline TG value was 193.19 _L (SD = 107.44), which decreased to 151.75 _L (SD = 45.27) after 4 weeks of HRCC (p = 0.04). QOL showed no significant changes. Conclusion: This study is the first human clinical trial evaluating HRCC capsules in patients with metabolic syndrome. Based on the safety and potential TG-lowering effects of short-term HRCC, further long-term investigations of HRCC are warranted. Clinical trial registration: [ClinicalTrials.gov], identifier [NCT05196295].",Positive,Human,Whole Body,Metabolic Syndrome,Lipid Metabolism,Gas (Sustained Release),N/A,Ingestion,,,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,
1315,"Korovljev, Darinka","Todorovic, Nikola; Ranisavljev, Marijana; Andjelic, Bogdan; Kladar, Nebojsa; Stajer, Valdemar","Ostojic, Sergej M.",Hydrogen-rich water upregulates fecal propionic acid levels in overweight adults ,2023,Nutrients,10.1016/j.nut.2023.112200 ,Fecal short-chain fatty acids are responsive to oral hydrogen in overweight adults. Propionic acid significantly increased in participants who consumed hydrogen-rich water for 12 wk compared with those who consumed tap water. This finding holds potential significance in addressing metabolic dysregulation.,Positive,Human,Intestine,Obesity,Gut Microbiome,Water (Electrolysis),Neutral,Ingestion,,,Serbia,,,,,,,,,,,,,,,,,,,,,,,,
1345,"Jebabli, Nidhal","Ouerghi, Nejmeddine; Abassi, Wissal; Yagin, Fatma Hilal; Khlifi, Mariem; Boujabli, Manar; Bouassida, Anissa; Ben Abderrahman, Abderraouf","Ardigo, Luca Paolo","Acute effect of hydrogen-rich water on physical, perceptual and cardiac responses during aerobic and anaerobic exercises: a randomized, placebo-controlled, double-blinded cross-over trial ",2023,Frontiers in Physiology,10.3389/fphys.2023.1240871 ,"Molecular hydrogen (H2 gas) dissolved in water to produce Hydrogen-Rich Water. Hydrogen-Rich Water (HRW) is considered as ergogenic aid in different exercise modes. However, acute pre-exercise HRW ingestion effect is unclear regarding athlete performance. This study aimed at investigating acute effect of HRW ingestion on aerobic and anaerobic exercise performance. Twenty-two male amateur middle-distance runners volunteered to participate in this study. In a randomized, double-blind study design, all players ingested 500 mL of HRW or placebo (PLA) supplement 30 min before the start of the tests. Over 4 days, maximal aerobic speed of Vameval test (MAS), time to exhaustion at MAS (Tlim), squat jump (SJ), counter-movement jump (CMJ) and five jump test (5JT) were evaluated. Also, rate of perceived exertion (RPE) and peak heart rate (HRpeak) were measured during the aerobic tests. For Vameval test, HRW ingestion improved MAS, HRpeak and RPE compared with the placebo condition. For Tlim test, HRW ingestion demonstrated improvements in time to exhaustion, RPE and HRpeak. However, no significant change was observed between HW and placebo conditions in SJ, CMJ, 5JT. 500 mL of HRW can significantly improve HRpeak, time to exhaustion, RPE, with no significant effect on MAS, jumping performance in amateur endurance athletes. ",Positive,Human,Whole Body,Excercise,Performance Enhancement,Water (Electrolysis),Neutral,Ingestion,,,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,
1347,"Moribe, Reiko","Minami, Marina; Hirota, Ryoji; J-P, Naw Awn; Kabayama, Shigeru; Eitoku, Masamitsu; Yamasaki, Keiko; Kuroiwa, Hajime","Suganuma, Narufumi",Health Effects of Electrolyzed Hydrogen Water for the Metabolic Syndrome and Pre-Metabolic Syndrome: A 3-Month Randomized Controlled Trial and Subsequent Analyses ,2024,Antioxidants,10.3390/antiox13020145 ,"We studied the effect of three months' use of electrolyzed hydrogen water (EHW, Electrolyzed Hydrogen Water conditioner produced by Nihon Trim Co., Ltd.) on metabolic and pre-metabolic syndrome groups. This research was carried out jointly by Susaki City; Nihon Trim Co., Ltd.; and Kochi University as part of a local revitalization project with health as a keyword. A randomized, placebo-controlled, double-blind, parallel-group trial was conducted to evaluate the clinical impact of EHW on participants who suffered from metabolic syndrome or pre-metabolic syndrome. EHW was produced via electrolysis using a commercially available apparatus (Nihon Trim Co., Ltd., Osaka, Japan). During exercise, oxidative stress increases, and active oxygen species increase. In this study, we examined 181 subjects with metabolic syndrome or pre-metabolic syndrome. Among the group that drank EHW for 3 months, those who also engaged in a high level of physical activity showed a significant difference in waist circumference reduction. Although no significant difference was observed, several positive results were found in the participants who engaged in a high level of physical activity. Urinary 8-OHdG, urinary nitrotyrosine, HbA1c, and blood glucose levels increased in the filtered water (FW) group but decreased in the EHW group. High-sensitivity CRP increased less in the EHW group. 8-Isoprostane decreased more in the EHW group. In subgroup analysis, the EHW group showed a significantly greater reduction in waist circumference than the FW group only when controlled for high physical activity. Based on the result, we suggest that, among participants in the study who suffered from metabolic syndrome and pre-metabolic syndrome in which the level of active oxygen species is said to be higher than in healthy subjects, the group that consumed EHW and also engaged in a high level of physical activity experienced a suppressed or reduced increase in active oxygen species. ",Positive,Human,Whole Body,Metabolic Syndrome,Oxidative Stress,"Water, Commercial (Nihon Trim Co)",Neutral,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
1353,"Guan, Chenggong","Zhang, Zhen; Wang, Lanting; Chen, Sheng-An","Luo, Xiaoqun",Successful treatment of Behçet's disease ulcers and skin lesions with hydrogen water ,2024,International Journal of Dermatology,10.1111/ijd.16958 ,No abstract available,Positive,Human,Whole Body,Wound Healing,Behcet's Disease,Water (Electrolysis),Neutral,Immersion,,,China,,,,,,,,,,,,,,,,,,,,,,,,
1354,"Hong, Yinglu","Bao, Dapeng; Manor, Brad; Zhou, Yuncong","Zhou, Junhong",Effects of endurance exercise on physiologic complexity of the hemodynamics in prefrontal cortex ,2024,Neurophotonics,10.1117/1.NPh.11.1.015009 ,"Significance: Prefrontal cortex (PFC) hemodynamics are regulated by numerous underlying neurophysiological components over multiple temporal scales. The pattern of output signals, such as functional near-infrared spectroscopy fluctuations (i.e., fNIRS), is thus complex. We demonstrate first-of-its-kind evidence that this fNIRS complexity is a marker that captures the influence of endurance capacity and the effects of hydrogen gas (H2) on PFC regulation. Aim: We aim to explore the effects of different physical loads of exercise as well as the intaking of hydrogen gas on the fNIRS complexity of the PFC. Approach: Twenty-four healthy young men completed endurance cycling exercise from 0 (i.e., baseline) to 100% of their physical loads after intaking 20 min of either H2 or placebo gas (i.e., control) on each of two separate visits. The fNIRS measuring the PFC hemodynamics and heart rate (HR) was continuously recorded throughout the exercise. The fNIRS complexity was quantified using multiscale entropy. Results: The fNIRS complexity was significantly greater in the conditions from 25% to 100% of the physical load (p<0.0005) compared with the baseline and after intaking H2 before exercise; this increase of fNIRS complexity was significantly greater compared with the control (p=0.001_0.01). At the baseline, participants with a greater fNIRS complexity had a lower HR (_=_0.35__0.33, p=0.008_0.02). Those with a greater increase of complexity had a lower increase of the HR (_=_0.30__0.28, p=0.001_0.002) during exercise. Conclusions: These observations suggest that fNIRS complexity would be a marker that captures the adaptive capacity of PFC to endurance exercise and to the effects of interventions on PFC hemodynamics. Keywords: endurance exercise; functional near-infrared spectroscopy; hemodynamics of prefrontal cortex; intaking hydrogen gas; multiscale entropy. ",Positive,Human,Brain,Excercise,Hemodynamics,Gas,N/A,Inhalation,,,China,,,,,,,,,,,,,,,,,,,,,,,,
1,"Alharbi, Ahad Abdulkarim D.","Ebine, Naoyuki; Nakae, Satoshi; Hojo, Tatsuya","Fukuoka, Yoshiyuki","Fukuoka, Yoshiyuki",2021,Nutrients,10.3390/nu13020459 ,"We investigated effects of molecular hydrogen (H2) supplementation on acid-base status, pulmonary gas exchange responses, and local muscle oxygenation during incremental exercise. Eighteen healthy, trained subjects in a randomized, double-blind, crossover design received H2-rich calcium powder (HCP) (1500 mg/day, containing 2.544 µg/day of H2) or H2-depleted placebo (1500 mg/day) for three consecutive days. They performed cycling incremental exercise starting at 20-watt work rate, increasing by 20 watts/2 min until exhaustion. Breath-by-breath pulmonary ventilation (V˙E) and CO2 output (V˙CO2) were measured and muscle deoxygenation (deoxy[Hb + Mb]) was determined via time-resolved near-infrared spectroscopy in the vastus lateralis (VL) and rectus femoris (RF). Blood gases' pH, lactate, and bicarbonate (HCO3-) concentrations were measured at rest and 120-, 200-, and 240-watt work rates. At rest, the HCP group had significantly lower V˙E, V˙CO2, and higher HCO3-, partial pressures of CO2 (PCO2) versus placebo. During exercise, a significant pH decrease and greater HCO3- continued until 240-watt workload in HCP. The V˙E was significantly lower in HCP versus placebo, but HCP did not affect the gas exchange status of V˙CO2 or oxygen uptake (V˙O2). HCP increased absolute values of deoxy[Hb + Mb] at the RF but not VL. Thus, HCP-induced hypoventilation would lead to lower pH and secondarily impaired balance between O2 delivery and utilization in the local RF during exercise, suggesting that HCP supplementation, which increases the at-rest antioxidant potential, affects the lower ventilation and pH status during incremental exercise. HPC induced a significantly lower O2 delivery/utilization ratio in the RF but not the VL, which may be because these regions possess inherently different vascular/metabolic control properties, perhaps related to fiber-type composition. ",Neutral,Human,Whole Body,Excercise,Performance Enhancement,Gas (Sustained Release),N/A,Ingestion,,Calcium,Japan,,,,,,,,,,,,,,,,,,,,,,,,
9,"Hirano, Shin-Ichi","Aoki, Yukimasa; Li, Xiao-Kang; Ichimaru, Naotsugu; Takahara, Shiro","Takefuji, Yoshiyasu",Protective effects of hydrogen gas inhalation on radiation-induced bone marrow damage in cancer patients: a retrospective observational study,2021,Medical Gas Research,10.4103/2045-9912.314329 ,"Although intensity-modulated radiation therapy (IMRT) has been developed as an alternative to conventional radiotherapy, reducing bone marrow damage is limited. Thus, a novel technology is needed to further mitigate IMRT-induced bone marrow damage. Molecular hydrogen (H2) was recently reported as a preventive and therapeutic antioxidant that selectively scavenges hydroxyl radical (·OH) and peroxynitrite (ONOO-). This observational study aimed to examine whether H2 gas treatment improves IMRT-induced bone marrow damage in cancer patients. The study was performed at Clinic C4 in Tokyo, Japan between May 2015 and November 2016. During this period, all enrolled patients received IMRT once per day for 1 to 4 weeks. After each time of IMRT, the patients of control group (n = 7, 3 men and 4 women, age range: 26-70 years) received mild hyperbaric oxygen therapy in health care chamber for 30 minutes, and the patients of H2 group (n = 16, 8 men and 8 women, age range: 35-82 years) received 5% H2 gas in health care chamber for 30 minutes once per day. Radiation-induced bone marrow damage was evaluated by hematological examination of peripheral blood obtained before and after IMRT, and the data were expressed by the ratio after to before treatment. The total number of radiation times and total exposure doses of radiation were similar between the control and H2 groups. IMRT with health care chamber therapy significantly reduced white blood cells and platelets, but not red blood cells, hemoglobin and hematocrit. In contrast, H2 gas treatment significantly alleviates the reducing effects of white blood cells and platelets (P = 0.0011 and P = 0.0275, respectively). Tumor responses to IMRT were similar between the two groups. The results obtained demonstrated that H2 gas inhalation therapy alleviated IMRT-induced bone marrow damage without compromising the anti-tumor effects of IMRT. The present study suggests that this novel approach of H2 gas inhalation therapy may be applicable to IMRT-induced bone marrow damage in cancer patients. The study protocol was approved by an Ethics Committee Review of Tokyo Clinic and Research Institute ICVS Incorporated (Tokyo, Japan) on February 1, 2019, and was registered in the University Hospital Medical Information Network (UMIN) Clinical Trials Registry (UMIN ID: UMIN000035864) on February 20, 2019. ",Positive,Human,Bone Marrow,Cancer,Radioprotection,Gas,N/A,Inhalation,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
13,"Kato, Shinya","Takada, Yuki","Miwa, Nobuhiko",Heat-retention effects of hydrogen-rich water bath assessed by thermography for humans ,2021,Journal of Thermal Biology,10.1016/j.jtherbio.2020.102805 ,"Hydrogen-rich water bath devices are commercially available, but have been scarcely clarified for heat-retention effects. In this study, heat-retention effects of hydrogen-rich water bath were assessed by thermographic clinical trials, which employed twenty-four healthy subjects. The thermograms indicated that, under the same conditions (41 °C, 10-min bathing), hydrogen-rich water bath (hydrogen concentrations: 185-548 _g/L; oxidation-reduction potentials: -167 to -91 mV, versus 0.8 _g/L and +479 mV for normal bath, respectively) brought about the heat-retention being more marked than those of normal water bath for several body-parts in the order as follows: abdomen > upper legs > arms > hands > feet, for 30- and 60-min post-bathing, being in contrast to scarce heat-retention for head, armpits and lower legs. Then, as reflection to promotive effects on blood stream, we also examined the thickness of fingertip-capillary in hands. The thickness was expanded in the hydrogen-rich water bath more markedly than that in the normal water bath, suggesting that the hydrogen-rich water bath may have the hydrogen-based promotive effect, exceeding over mere heat retention-based effects, on blood circulation of the whole body. Meanwhile, the heat-retention in hydrogen-rich water bath weakly or moderately correlated with contents of the subcutaneous fat, whole body fat and body mass index, and inversely correlated with skeletal muscle rates, although their correlation degrees did not obviously exceed over normal water bath, with a poor relation with the basal metabolism rate. Thus, the hydrogen-rich water bath was suggested to exert heat-retention effects exceeding over normal water bath, in diverse body-parts such as abdomen, upper legs, arms and hands, via promotion to blood flow which was reflected by expanding the thickness of capillary. The heat-retention after bathing can be noted as effects of the hydrogen-rich water bath, which is applicable for most of people widespread regardless of their body composition index. ",Positive,Human,Whole Body,Stress Resilience,Heat Retention,Water (Electrolysis),Neutral,Bath,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
14,"Kubota, Miyuki","Kawashima, Motoko; Inoue, Sachiko; Imada, Toshihiro; Nakamura, Shigeru; Kubota, Shunsuke; Watanabe, Mitsuhiro; Takemura, Ryo","Tsubota, Kazuo","Randomized, crossover clinical efficacy trial in humans and mice on tear secretion promotion and lacrimal gland protection by molecular hydrogen ",2021,Nature Scientific Reports,10.1038/s41598-021-85895-y ,"The incidence of dry eye disease is increasing worldwide because of the aging population and increasing use of information technology. Dry eye disease manifests as tear-layer instability and inflammation caused by osmotic hypersensitization in tear fluids; however, to our knowledge, no agent that treats both pathologies simultaneously is available. Molecular hydrogen (H2) is known to be effective against various diseases; therefore, we aimed to elucidate the effects of H2 on tear dynamics and the treatment of dry eye disease. We revealed that administering a persistent H2-generating supplement increased the human exhaled H2 concentration (p < 0.01) and improved tear stability (p < 0.01) and dry eye symptoms (p < 0.05) significantly. Furthermore, H2 significantly increased tear secretion in healthy mice (p < 0.05) and significantly suppressed tear reduction in a murine dry eye model (p = 0.007). H2 significantly and safely improved tear stability and dry eye symptoms in a small exploratory group of 10 human subjects, a subset of whom reported dry eye symptoms prior to treatment. Furthermore, it increased tear secretion rapidly in normal mice. Therefore, H2 may be a safe and effective new treatment for dry eye disease and thus larger trials are warranted. ",Positive,Human,Eye,Dry Eye,Inflammation,Gas (Sustained Release),N/A,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
28,"Si, Yanhong","Tian, Hua; Dong, Bingqing; Zhang, Ying; Wen, Yuanyuan; Jia, Xiubin; Li, Ying; Zhang, Aihua","Qin, Shucun",Effects of hydrogen as adjuvant treatment for unstable angina,2021,Experimental Biology and Medicine,10.1177/15353702211009138 ,"Oxidative stress and inflammation are closely related to atherosclerotic cardiovascular disease. It is established that hydrogen has significant protective effects on many diseases as a potential antioxidative and anti-inflammatory agent. The purpose of this study is to evaluate the effect of hydrogen on unstable angina in vitro and in vivo. An atherosclerosis model in vitro was constructed by ox-LDL-induced injury of human umbilical vein endothelial cells and in vitro testing indicated hydrogen inhibited ox-LDL-induced oxidative stress and inflammatory response by down-regulating LOX-1/NF-kB signaling pathway. Subsequently, the attenuating effect of hydrogen-rich water intake on unstable angina was further confirmed in clinic. Forty hospitalized subjects with unstable angina were enrolled and consumed either 1000-1200 mL/d hydrogen-rich water or the same amount of placebo pure water in addition to conventional drugs for three months. Clinical analysis showed hydrogen-rich water intake relieved angina symptoms in unstable angina patients. Serum analysis showed that hydrogen-rich water addition resulted in more effective reductions of total-cholesterol, low-density lipoprotein-cholesterol, and apolipoprotein B levels compared with conventional treatment. These results support that hydrogen as adjuvant treatment has a beneficial effect on unstable angina. ",Positive,Human,Heart,Atherosclerosis,Unstable Angina,Water (Dissolved),Neutral,Ingestion,,,China,,,,,,,,,,,,,,,,,,,,,,,,
